TEAM NAMES,Series Number,Filename,Name,Description,Gender,Attributes,UUID,hash_value
"TEAM BEVEL","1","adewale-the-amebo","adewale the amebo","Adewale likes to be in everyone's business. ","Male","hair: bald; eyes: black; teeth: none; clothing: red; accessories: mask; expression: none; strength: powerful; weakness: curiosity","cad316c3-37f8-4b27-9f53-9d803bfcfee7","aecf982cb2e0fddf8fe3012c2ac6ce2086dac9562d6f41085ce9cdc91323c271"
"","2","alli-the-queeny","alli the queeny","Alli is an LGBT Stan.","Male","hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none","a57ecda4-a26f-4e97-a757-e1800af39aab","3dbb95f13d39590704efd1d16c04f8b0cc4992492cdd07d4c3dcfe4e2f06b413"
"","3","aminat-the-snnobish","aminat the snnobish","Aminat never really wants to talk to anyone.","Female","hair: brown bun; eyes: none; teeth: none; clothing: yellow; accessories: glasses; expression: blank; strength: none; weakness: attitude","0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de","708d0fa270de0de51d48295fdf067c972015b5828015d90a31a76781791d26bf"
"","4","aminu-the-carpenter","aminu the carpenter","Aminu's hands are blessed; he makes the best furniture in the whole of Kano.","Male","hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none","4f30b751-96e7-40fe-97fd-e3d44973ff2f","e7c51d1d352dd89b22ffd39bf95aab8ab2faab809413ced0304de0a696f0cfe3"
"","5","chibuike-the-kudibag","chibuike the kudibag","Chibuike is too rich. Everyone wonders how he got it.","Male","hair: bald; eyes: black; teeth: none; clothing: blue; accessories: mask; expression: none; strength: hustler; weakness: none","5ce854f2-7ac1-46fd-b3fe-57583935d1e5","ff4a80e22c9800245691c92ebca96a6b176902c40cfa0c0ca2d1c87138d4556b"
"","6","chidinma-the-model","chidinma the model","From Paris' runways; to London's streets; she's always in demand.","Female","hair: brown hair; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: hardworking; weakness: none","c98db72e-49ac-4ca6-89d5-e00f5fbbcc45","ad900d87b3e8717905d267a679e3d1134f58a26418356e57fefefb43c4ea5c8b"
"","7","chioma-pretty- girl","chioma pretty girl","Chioma's face card is a 100.","Female","hair: dreads; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: none; weakness: none","182ea888-a85b-42ca-ad73-ed4f8f9aa5c7","e78171ed6707b50e44bb5a1285ecb52c718f00f24e5121e6c0bf4c259c048b1f"
"","8","damilare-the-handsome","damilare the handsome","He's a fine boy; proper eye candy. ","Male","hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none","27eca2dc-d7df-474a-8f8f-1858152c711e","7f084550cbf596889a1974fc44f5b58aeedfd42a7a2d2e10ecf19c7f468c2810"
"","9","ebiowie-the-planter","ebiowie the planter","Ebiowei has a reputation for nurturing plants.","Male","hair: bald; eyes: none; teeth: none; clothing: multicolored; accessories: none; expression: none; strength: powerful; weakness: none","f1df8270-4d60-4bd4-8959-ba7c384db5c4","9ce41e52c60bbb632fac062518651d98773d0df05498d88bd03be20324eed3e4"
"","10","emeka-the-businessman","emeka the businessman","Emeka only cares about containers. No time to waste.","Male","hair: bald; eyes: white; teeth: none; clothing: orange; accessories: mask; expression: none; strength: hard worker; weakness: none","9b3d75da-4887-4089-aee4-50de3954fdc9","eccfd5760d8841369826249868d95d1704f21ba9bbfa5a92674268816ada29eb"
"","11","gbeminyi-the-monk","gbeminyi the monk","He lives in a monastery off the coast. No one has heard him speak in years.","Male","hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none","c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb","c7a6a65cc6c974e35718b739205e8ed45bd5a108163c567242de7f2da9963dd5"
"","12","henry-the-sportsman","henry the sportsman","He's played every sport known to man. Even cricket.","Male","hair: bald; eyes: yellow; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: agility; weakness: none","e1225451-bfdf-4a1f-8d37-9cce3a0bd67b","e2c6648f9845b559bc6d1c842070bcd3def2bcdd35f612ed8f87c76d319789bf"
"","13","mayowa-the-smallie","mayowa the smallie","Mayowa is so small but everyone loves him still.","Male","hair: bald; eyes: blue; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: none; weakness: none","dfbb4163-df24-4d54-b74c-6218a68df8bd","7c0e78b418c77595e7bdeed22fe08c0e56688ff64ac10d622ce26d49b830bb7d"
"","14","muyiwa-the-stylish","muyiwa the stylish","Muyiwa has a motto which is never to be caught unfresh.","Male","hair: bald; eyes: ash; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: creativity; weakness: none","dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7","f4773ffba3a6db1690cf01a5841f73632254434c450504fdf9e71b5590d6366d"
